a,http://www.handspeak.com/spell/asl/asla.gif
b,http://www.handspeak.com/spell/asl/aslb.gif
c,http://www.handspeak.com/spell/asl/aslc.gif
d,http://www.handspeak.com/spell/asl/asld.gif
e,http://www.handspeak.com/spell/asl/asle.gif
f,http://www.handspeak.com/spell/asl/aslf.gif
g,http://www.handspeak.com/spell/asl/aslg.gif
h,http://www.handspeak.com/spell/asl/aslh.gif
i,http://www.handspeak.com/spell/asl/asli.gif
j,http://www.handspeak.com/spell/asl/aslj.gif
k,http://www.handspeak.com/spell/asl/aslk.gif
l,http://www.handspeak.com/spell/asl/asll.gif
m,http://www.handspeak.com/spell/asl/aslm.gif
n,http://www.handspeak.com/spell/asl/asln.gif
o,http://www.handspeak.com/spell/asl/aslo.gif
p,http://www.handspeak.com/spell/asl/aslp.gif
q,http://www.handspeak.com/spell/asl/aslq.gif
r,http://www.handspeak.com/spell/asl/aslr.gif
s,http://www.handspeak.com/spell/asl/asls.gif
t,http://www.handspeak.com/spell/asl/aslt.gif
u,http://www.handspeak.com/spell/asl/aslu.gif
v,http://www.handspeak.com/spell/asl/aslv.gif
w,http://www.handspeak.com/spell/asl/aslw.gif
x,http://www.handspeak.com/spell/asl/aslx.gif
y,http://www.handspeak.com/spell/asl/asly.gif
z,http://www.handspeak.com/spell/asl/aslz.gif
